,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,current_quarantined_riskareatravel,current_quarantined_total,ncumul_confirmed_non_resident,current_hosp_non_resident,diff_tested,current_hosp_resident,TotalPosTests1,ninst_ICU_intub,ncumul_ICF,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
128,2020-08-05 08:05:57,2020-03-05 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,1,1,0,,,1.81,,,0,,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/news-aus-dem-departement/detail/news/coronavirusersterfallinappenzellausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=fb1a9cf08108cdc7b82780b9239b009d,0.0,0.0
143,2020-08-05 08:05:57,2020-03-06 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,1,1,0,,,1.81,,,0,,,,,,,,,,,,,,0,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/zweiter-coronafall-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=de7ec38198b5e60b6dce8fccc7735501,0.0,0.0
161,2020-08-05 08:05:57,2020-03-07 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,1,1,0,,,1.81,,,0,,,,,,,,,,,,,,0,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/zweiter-coronafall-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=de7ec38198b5e60b6dce8fccc7735501,0.0,0.0
175,2020-08-05 08:05:57,2020-03-08 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,1,1,0,,,1.81,,,0,,,,,,,,,,,,,,0,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/zweiter-coronafall-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=de7ec38198b5e60b6dce8fccc7735501,0.0,0.0
191,2020-08-05 08:05:57,2020-03-09 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,2,2,0,,,3.62,,,0,,,,,,,,,,,,,,1,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/zweiter-coronafall-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=de7ec38198b5e60b6dce8fccc7735501,0.0,0.0
241,2020-08-05 08:05:57,2020-03-12 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,5,5,0,,,9.06,,,0,,,,,,,,,,,,,,3,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-drei-neue-faelle-in-appenzell-ausserrhoden/?tx_news_pi1[controller]=News&tx_news_pi1[action]=detail&cHash=272411484066c8fb971dcc838aa96ef9,2.153383,0.0
357,2020-08-05 08:05:57,2020-03-18 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,11,11,0,3,,19.93,,,0,,,,,,,,,,,,,,6,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-bevoelkerung-und-alle-spitaeler-machen-bei-der-gesundheitsversorgung-mit/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3d2a0733446b5fc7cdad0f48f61c28fd,1.445324,0.0
424,2020-08-05 08:05:57,2020-03-21 02:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,11,11,0,3,,19.93,1.812,,0,1,,,,,,,,,,,,,0,0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-erster-todesfall-in-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=a88f209df29c38474f9c5f9e1c5dd53f,1.445324,0.0
465,2020-08-05 08:05:57,2020-03-23 09:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,30,30,0,7,,54.35,1.812,,0,1,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,1.018975,0.0
491,2020-08-05 08:05:57,2020-03-24 09:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,33,33,-1,6,,59.78,3.623,,0,2,,,,,,,,,,,,,3,1,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,1.236279,0.0
518,2020-08-05 08:05:57,2020-03-25 07:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,34,34,0,6,,61.59,3.623,,0,2,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,1.807969,0.0
544,2020-08-05 08:05:57,2020-03-26 15:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,42,42,0,6,,76.09,3.623,,0,2,,,,,,,,,,,,,8,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,2.586806,0.0
571,2020-08-05 08:05:57,2020-03-27 12:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,44,44,0,6,,79.71,3.623,,0,2,,,,,,,,,,,,,2,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,2.5,5.0
597,2020-08-05 08:05:57,2020-03-28 07:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,45,45,0,6,,81.52,3.623,,0,2,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,8.547556,5.0
621,2020-08-05 08:05:57,2020-03-29 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,48,48,0,6,,86.96,3.623,,0,2,,,,,,,,,,,,,3,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,9.249524,
647,2020-08-05 08:05:57,2020-03-30 16:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,50,50,0,6,,90.58,3.623,,0,2,,,,,,,,,,,,,2,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,8.986448,
673,2020-08-05 08:05:57,2020-03-31 14:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,58,58,0,6,,105.07,3.623,,0,2,,,,,,,,,,,,,8,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,10.737366,
699,2020-08-05 08:05:57,2020-04-01 15:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,61,61,0,6,,110.51,5.435,,0,3,,,,,,,,,,,,,3,1,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,10.608825,8.547556
726,2020-08-05 08:05:57,2020-04-02 10:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,64,64,0,6,,115.94,5.435,,0,3,,,,,,,,,,,,,3,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,9.839674,8.547556
753,2020-08-05 08:05:57,2020-04-03 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,65,65,0,6,,117.75,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,11.431045,8.547556
779,2020-08-05 08:05:57,2020-04-04 11:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,66,66,0,6,,119.57,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,12.483212,8.547556
803,2020-08-05 08:05:57,2020-04-05 11:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,67,67,0,6,,121.38,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,24.025964,8.547556
829,2020-08-05 08:05:57,2020-04-06 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,69,69,0,6,,125.0,5.435,,0,3,,,,,,,,,,,,,2,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,28.123522,
856,2020-08-05 08:05:57,2020-04-07 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,69,69,0,6,,125.0,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,46.072564,
883,2020-08-05 08:05:57,2020-04-08 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,72,72,0,6,,130.43,5.435,,0,3,,,,,,,,,,,,,3,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,33.885167,
910,2020-08-05 08:05:57,2020-04-09 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,74,74,0,6,,134.06,5.435,,0,3,,,,,,,,,,,,,2,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,30.292153,
936,2020-08-05 08:05:57,2020-04-10 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,77,77,0,6,,139.49,5.435,,0,3,,,,,,,,,,,,,3,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,24.913134,
962,2020-08-05 08:05:57,2020-04-11 08:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,77,77,0,6,,139.49,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,31.593164,
1012,2020-08-05 08:05:57,2020-04-13 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,78,78,0,6,,141.3,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,28.26811,
1038,2020-08-05 08:05:57,2020-04-14 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,79,79,0,6,,143.12,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,37.353645,
1065,2020-08-05 08:05:57,2020-04-15 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,79,79,0,6,,143.12,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,53.006877,
1092,2020-08-05 08:05:57,2020-04-16 06:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,79,79,0,6,,143.12,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,135.156294,
1119,2020-08-05 08:05:57,2020-04-17 10:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,82,82,0,6,,148.55,5.435,,0,3,,,,,,,,,,,,,3,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,55.087032,
1195,2020-08-05 08:05:57,2020-04-20 11:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,86,86,0,6,,155.8,5.435,,0,3,,,,,,,,,,,,,4,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,35.495598,
1222,2020-08-05 08:05:57,2020-04-21 11:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,86,86,0,6,,155.8,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,40.821656,
1249,2020-08-05 08:05:57,2020-04-22 16:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,87,87,0,6,,157.61,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,35.929155,
1276,2020-08-05 08:05:57,2020-04-23 12:00:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,88,88,0,5,2,159.42,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,32.123174,
1303,2020-08-05 08:05:57,2020-04-24 07:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,88,88,-1,4,2,159.42,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,49.077532,
1377,2020-08-05 08:05:57,2020-04-27 08:15:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,94,94,-2,2,2,170.29,5.435,,0,3,,,,,,,,,,,,,6,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,38.963843,
1404,2020-08-05 08:05:57,2020-04-28 07:40:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,94,94,2,4,2,170.29,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,38.963843,
1431,2020-08-05 08:05:57,2020-04-29 08:20:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,94,94,-2,2,2,170.29,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,44.784666,
1458,2020-08-05 08:05:57,2020-04-30 11:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,95,95,0,2,2,172.1,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,45.280016,
1485,2020-08-05 08:05:57,2020-05-01 10:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,96,96,4,6,2,173.91,5.435,,0,3,,,,,,,,,,,,,1,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,39.830836,
1511,2020-08-05 08:05:57,2020-05-02 10:30:00,,AR,Appenzell Ausserrhoden,15,47.416351999999996,9.36791,96,96,-3,3,2,173.91,5.435,,0,3,,,,,,,,,,,,,0,0,https://www.ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/informationsseite-coronavirus/,164.616375,
