date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source,ncumul_ICF,ncumul_ICU_intub,TotalPosTests1,TotalCured
2020-03-12,12:00,BS,,73.0,,,,4.0,1.0,https://twitter.com/BAG_OFSP_UFSP/status/1238073089902235648?s=20   https://www.coronavirus.bs.ch/nm/2020-coronavirus-ende-der-quarantaenemassnahmen-im-fall-kita-riehen-gd.html   https://www.coronavirus.bs.ch/nm/2020-coronavirus-erster-todesfall-im-kanton-basel-stadt-gd.html,,,,
2020-03-12,,FL,57.0,3.0,,,,1.0,,https://www.regierung.li/media/attachments/114-hallenbaeder-geschlossen-0312.pdf?t=637202562374055719,,,,
2020-03-12,,SG,,15.0,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html,,,,
2020-03-12,,TI,,180.0,,,,,,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187437&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=59cf6112c82abed490acd8901f5a0bb2,,,,
2020-03-12,,UR,,2.0,,,,,,,,,,
2020-03-12,,VD,,156.0,43.0,8.0,,,1.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-12,,ZH,,92.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,11.0
2020-03-13,13:00,AG,,32.0,,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200313_KFS_Coronavirus_Lagebulletin_11.pdf,,,,
2020-03-13,,BL,,42.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-26-bestaetigte-faelle-in-basel-landschaft-2,,,,
2020-03-13,12:30,BS,,92.0,,,,,1.0,https://twitter.com/BAG_OFSP_UFSP/status/1238430659762364417?s=20,,,,
2020-03-13,12:00,OW,6.0,1.0,,,,,,https://www.ow.ch/de/aktuelles/aktuellesinformationen/amtsmitteilungen/welcome.php?action=showinfo&info_id=63566&ls=0&sq=&kategorie_id=&date_from=&date_to=,,,,
2020-03-13,12:00,SZ,10.0,9.0,,,,,,https://www.sz.ch/public/upload/assets/45585/MM_Coronavirus_13_03_2020.pdf,,,,
2020-03-13,,TI,,258.0,65.0,13.0,,,,https://www.youtube.com/watch?v=_x_yQ6uwGAQ,,,,
2020-03-13,,VD,,204.0,52.0,10.0,,5.0,2.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-13,,VS,,22.0,,,,,1.0,https://www.vs.ch/de/web/coronavirus/info?p_p_id=com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_delta=5&p_r_p_resetCur=false&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_cur=3#collapse6898881,,,,
2020-03-13,,ZG,,13.0,,,,,,https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-kanton-zug-stellt-sich-hinter-massnahmen-des-bundes,,,,
2020-03-13,,ZH,,140.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,
2020-03-14,,AI,,2.0,,,,,,https://www.ai.ch/themen/gesundheit-alter-und-soziales/gesundheitsfoerderung-und-praevention/aktuelles/erste-bestaetigte-coronavirus-faelle-auch-in-innerrhoden,,,,
2020-03-14,,BL,,47.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-47-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-14,11:27,BS,,100.0,,,,,1.0,https://twitter.com/BAG_OFSP_UFSP/status/1238773726423941127?s=20,,,,
2020-03-14,,FL,99.0,3.0,,,,1.0,,https://www.regierung.li/media/attachments/118-corona-rueckkehrer-skiferien-0314.pdf?t=637202562374055719,,,,
2020-03-14,03:03,SZ,1.0,12.0,,,,,,"https://www.bote.ch/nachrichten/schwyz/schwyz_bdu/coronavirus-einsatz-fuer-spitalbataillon-5;art146989,1229758",,,,
2020-03-14,,TI,,265.0,,,,,3.0,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187466&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=1b10e6e8117296766155edcf9c317a4c,,,,
2020-03-14,,VD,,350.0,43.0,14.0,,5.0,3.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-14,,ZG,,13.0,,,,,,https://twitter.com/gesundZG/status/1238733148462157824?s=20,,,,
2020-03-15,,BL,,54.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-54-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-15,,FL,,7.0,,,,1.0,,https://www.regierung.li/media/attachments/119-corona-massnahmen-verschaerft-0315.pdf?t=637202562374055719,,,,
2020-03-15,,SZ,,13.0,,,,,,https://www.sz.ch/public/upload/assets/45590/MM_Coronavirus_15_3_2020.pdf,,,,
2020-03-15,,TI,,291.0,,,,,6.0,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187467&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=af5473066754ef4d1272e156056acc07,,,,
2020-03-15,,VD,,406.0,62.0,19.0,,5.0,4.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-16,15:00,AG,,52.0,2.0,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200316_KFS_Coronavirus_Lagebulletin_12.pdf,,,,
2020-03-16,,AI,,4.0,,,,,,Kantonaler Führungsstab Appenzell Innerrhoden,,,,
2020-03-16,,BE,,123.0,,,,,1.0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,,
2020-03-16,,BL,,76.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-67-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-16,12:00,BS,,144.0,,,,,4.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-144-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,,,
2020-03-16,,TG,246.0,17.0,,,,,,,,,,
2020-03-16,,TI,,330.0,,,,,8.0,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187475&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=dee4a529abd4e9300e116c7ff4db5774,,,,
2020-03-16,,VD,,508.0,66.0,27.0,,5.0,5.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-16,,ZG,,24.0,,,,,,https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/covid-19-zuger-spitaeler-bereiten-sich-gemeinsam-auf-herausfordernde-zeit-vor,,,,
2020-03-16,,ZH,,270.0,,,,,1.0,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,
2020-03-17,16:00,AG,,67.0,2.0,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200317_KFS_Coronavirus_Lagebulletin_13.pdf,,,,
2020-03-17,,AI,,5.0,,,,,,Kantonaler Führungsstab Appenzell Innerrhoden,,,,
2020-03-17,,BL,,89.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-89-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-17,12:00,BS,,165.0,30.0,,,25.0,4.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-165-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,,,
2020-03-17,,FL,,19.0,,,,1.0,,https://www.regierung.li/media/attachments/126-corona-generelles-veranstaltungsverbot-weitere-schliessungen.pdf?t=637202562374055719,,,,
2020-03-17,,GL,,10.0,,,,,,https://www.suedostschweiz.ch/ereignisse/2020-03-20/die-zahl-der-corona-faelle-im-glarnerland-steigt-stark-an,,,,
2020-03-17,,SG,,47.0,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html,,,,
2020-03-17,,TG,276.0,23.0,,,,,,,,,,
2020-03-17,,TI,,422.0,,,,,10.0,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187486&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=d106aab74491da09b294ff13ffadd02f,,,,
2020-03-17,,VD,,608.0,95.0,35.0,,9.0,5.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-17,,VS,,95.0,,,,,3.0,https://www.vs.ch/de/web/coronavirus/info?p_p_id=com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_delta=5&p_r_p_resetCur=false&_com_liferay_asset_publisher_web_portlet_AssetPublisherPortlet_INSTANCE_1rjMHS5sCcaN_cur=2#collapse6927494,,,,
2020-03-17,,ZH,,294.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,
2020-03-18,16:00,AG,,101.0,6.0,,,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200318_KFS_Coronavirus_Lagebulletin_14.pdf,,,,
2020-03-18,,AR,,11.0,3.0,,,,,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-bevoelkerung-und-alle-spitaeler-machen-bei-der-gesundheitsversorgung-mit/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=3d2a0733446b5fc7cdad0f48f61c28fd,,,,
2020-03-18,,BE,,193.0,,,,,1.0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,,
2020-03-18,,BL,,116.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-116-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-18,11:15,BS,,182.0,40.0,,,36.0,4.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-182-bestaetigte-faelle-im-kanton-basel-stadt-treffen-mit-allen-spitaelern-gd.html,,,,
2020-03-18,,FL,,28.0,,,,1.0,,https://www.regierung.li/media/attachments/131-corona-hotline-0318.pdf?t=637202562374055719,,,,
2020-03-18,17:00,FR,,,,,,,1.0,https://www.fr.ch/de/sr/gesundheit/covid-19/covid-19-im-kanton-freiburg-ist-ein-erster-todesfall-zu-beklagen,,,,
2020-03-18,,GR,,116.0,13.0,,,,1.0,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx,,,,
2020-03-18,16:00,LU,,65.0,,,,,,https://web.archive.org/web/20200318191404/https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,,,,
2020-03-18,,SG,,61.0,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html,,,,
2020-03-18,,SO,,43.0,,,,,,https://www.oltnertagblatt.ch/solothurn/kanton-solothurn/zivilschuetzer-kontrollieren-wer-in-die-solothurner-spitaeler-rein-will-137174885,,,,
2020-03-18,,TG,,32.0,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,,,
2020-03-18,,TI,,511.0,,,,,14.0,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187493&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=7803bbc03dd49ef2e421dfd6b12dd239,,,,
2020-03-18,,UR,85.0,5.0,,,,,,https://www.ur.ch/mmdirektionen/63802,,,,
2020-03-18,,VD,,796.0,128.0,34.0,,16.0,5.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-18,,ZH,,424.0,,,,,,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,
2020-03-19,15:00,AG,,118.0,17.0,6.0,3.0,,,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200319_KFS_Coronavirus_Lagebulletin_15.pdf,,,,
2020-03-19,,AI,,6.0,1.0,,,,,Kantonaler Führungsstab Appenzell Innerrhoden,,,,
2020-03-19,,BE,,282.0,,,,,1.0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,,
2020-03-19,,BL,,134.0,,,,,2.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-131-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-19,11:00,BS,,222.0,40.0,,,44.0,4.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-222-bestaetigte-faelle-basel-stadt-trifft-gemeinsam-mit-den-spitaelern-vorkehrungen-fuer-intensiv--und-beatmungskapazitaeten-gd.html,,,,
2020-03-19,,GL,,17.0,,,,,,https://www.suedostschweiz.ch/ereignisse/2020-03-20/die-zahl-der-corona-faelle-im-glarnerland-steigt-stark-an,,,,
2020-03-19,,GR,,145.0,18.0,,,,1.0,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx,,,,
2020-03-19,16:00,JU,,27.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html,,,,
2020-03-19,,NW,,25.0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044,,,,
2020-03-19,,SG,,85.0,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html,,,,
2020-03-19,,TG,,36.0,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,,,
2020-03-19,,TI,,638.0,155.0,33.0,,,15.0,https://www4.ti.ch/area-media/comunicati/dettaglio-comunicato/?NEWS_ID=187499&tx_tichareamedia_comunicazioni%5Baction%5D=show&tx_tichareamedia_comunicazioni%5Bcontroller%5D=Comunicazioni&cHash=634a783514bdcbb426c005f1ea916268 https://www.youtube.com/watch?v=34RQ7OOWYoI,,,,
2020-03-19,,UR,,7.0,,,,,,https://www.ur.ch/mmdirektionen/63841,,,,
2020-03-19,,VD,,1212.0,140.0,32.0,,52.0,7.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-19,,VS,,232.0,,,,,4.0,https://www.vs.ch/de/web/coronavirus#collapse6955818,,,,
2020-03-19,,ZH,,526.0,,,,,3.0,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,
2020-03-20,15:00,AG,,168.0,25.0,4.0,2.0,,1.0,https://www.ag.ch/media/kanton_aargau/themen_1/coronavirus_1/lagebulletins/200320_KFS_Coronavirus_Lagebulletin_16.pdf,,,,
2020-03-20,,BE,,377.0,,,,,2.0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,,
2020-03-20,,BL,,184.0,,,,,3.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-170-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-20,10:00,BS,,272.0,45.0,,,46.0,4.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-272-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,,,
2020-03-20,,FL,,37.0,,,,1.0,,https://www.regierung.li/media/attachments/136-soziale-kontakte-reduktion-corona.pdf?t=637203388043363286,,,,
2020-03-20,,GE,,994.0,109.0,22.0,82.0,,8.0,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,5.0,21.0,,
2020-03-20,,GR,,213.0,24.0,,,,3.0,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx,,,,
2020-03-20,17:00,JU,,29.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html,,,,
2020-03-20,09:40,LU,,92.0,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,,,,
2020-03-20,16:00,NE,,159.0,,,,,2.0,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx,,,,
2020-03-20,15:20,NW,,28.0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044,,,,
2020-03-20,,SG,,98.0,,,,,,https://www.sg.ch/tools/informationen-coronavirus.html,,,,
2020-03-20,,SH,,14.0,,,,,,https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt-3209198-DE.html,,,,
2020-03-20,12:37,SO,,66.0,,,,,,https://twitter.com/KantonSolothurn/status/1241041303024041989?p=p,,,,
2020-03-20,,TG,,49.0,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,,,
2020-03-20,08:00,TI,,834.0,168.0,35.0,,,22.0,https://www4.ti.ch/dss/dsp/covid19/home/ https://www.youtube.com/watch?v=34RQ7OOWYoI,,,,
2020-03-20,12:00,UR,,7.0,,,,,,https://www.ur.ch/themen/2920,,,,
2020-03-20,,VD,,1432.0,152.0,30.0,,62.0,12.0,https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/,,,,
2020-03-20,,VS,,282.0,,,,,5.0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-20,,ZG,,48.0,1.0,,,5.0,,https://www.zg.ch/behoerden/gesundheitsdirektion/direktionssekretariat/aktuell/coronavirus-ausreichende-testkapazitaeten-im-kanton-zug-vorhanden,,,,
2020-03-20,,ZH,,773.0,,,,,3.0,https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_7,,,,
2020-03-21,,AR,,,,,,,1.0,https://www.ar.ch/schnellzugriff/medienmitteilungen-der-kantonalen-verwaltung/detail/news/coronavirus-erster-todesfall-in-appenzell-ausserrhoden/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=a88f209df29c38474f9c5f9e1c5dd53f,,,,
2020-03-21,,BE,,377.0,,,,,3.0,https://www.besondere-lage.sites.be.ch/besondere-lage_sites/de/index/corona/index.html,,,,
2020-03-21,14:00,BL,,282.0,,,,,3.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-282-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-21,10:00,BS,,299.0,46.0,,,57.0,5.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-299-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,,,
2020-03-21,,FL,,44.0,,,,,,https://www.regierung.li/media/attachments/138-corona-starke-zunahme-0321.pdf?t=637204593432337675,,,,
2020-03-21,,GE,,1048.0,145.0,25.0,107.0,,8.0,https://www.ge.ch/document/covid-19-situation-epidemiologique-geneve/telecharger,13.0,24.0,,
2020-03-21,,GR,,239.0,24.0,,,,3.0,https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/coronavirus/info/Seiten/Start.aspx,,,,
2020-03-21,18:00,JU,,49.0,,,,,,https://www.jura.ch/fr/Autorites/Coronavirus/Accueil/Coronavirus-Informations-officielles-a-la-population-jurassienne.html,,,,
2020-03-21,11:00,LU,,109.0,,,,,,https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Coronavirus,,,,
2020-03-21,15:30,NE,,177.0,,,,,2.0,https://www.ne.ch/autorites/DFS/SCSP/medecin-cantonal/maladies-vaccinations/Pages/Coronavirus.aspx,,,,
2020-03-21,18:15,NW,,33.0,,,,,,https://www.nw.ch/gesundheitsamtdienste/6044,,,,
2020-03-21,,TG,,56.0,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,,,
2020-03-21,08:00,TI,,918.0,184.0,40.0,37.0,,28.0,https://www4.ti.ch/dss/dsp/covid19/home/ https://www.youtube.com/watch?v=7g2sALU9bQM,,,,
2020-03-21,08:00,UR,,12.0,,,,,,https://www.ur.ch/themen/2920,,,,
2020-03-21,,VS,,359.0,,,,,9.0,https://www.vs.ch/de/web/coronavirus,,,,
2020-03-22,14:00,BL,,289.0,,,,,3.0,https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/update-289-bestaetigte-faelle-in-basel-landschaft,,,,
2020-03-22,10:30,BS,,358.0,50.0,,,73.0,5.0,https://www.coronavirus.bs.ch/nm/2020-tagesbulletin-coronavirus-358-bestaetigte-faelle-im-kanton-basel-stadt-gd.html,,,,
2020-03-22,,TG,,75.0,,,,,,https://www.tg.ch/news/fachdossier-coronavirus.html/10552,,,,
2020-03-22,08:00,TI,,939.0,246.0,46.0,43.0,,43.0,https://www4.ti.ch/dss/dsp/covid19/home/,,,,
