Date;Measure;Source;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW ;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
Latitude;;;47,389616;47,328414;47,38271;46,916667;47,4866;47,558395;46,8065;46,195602;47,0411;46,8508;47,3658;47,0502;46,9900;46,9572;46,8959;47,4245;47,6959;47,2088;47,0207;47,5536;46,1946;46,8821;46,5197;46,2331;47,1662;47,366667
Longitude;;;8,052354;9,409647;9,27186;7,466667;7,7334;7,573271;7,1620;6,148113;9,0679;9,5320;7,3452;8,3093;6,9293;8,3660;8,2457;9,3767;8,6380;7,5323;8,6530;8,8988;9,0244;8,6428;6,6323;7,3606;8,5155;8,55
27-2-2020;Start BAG information campaign ;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78273.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28-2-2020;Events with more than 1000 people forbidden;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78289.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2-3-2020;Update BAG information campaign;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78304.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3-3-2020;Testing part of basic insurance;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78335.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13-3-2020;Events with more than 100 people forbidden;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13-3-2020;Maximal 50 people in bars/restaurants;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13-3-2020;Closing schools;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13-3-2020;Restricted travel from Italy;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16-3-2020;Bars, restaurants and entertainment closed ;https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78454.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
13-3-2020;Visits to all hospitals, retirement and nursing homes are prohibited;https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/coronavirus.html#title-content-internet-gesundheitsdirektion-de-themen-coronavirus-jcr-content-contentPar-textimage_15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
17-3-2020;Only neccasery treatments in hospitals are allowed;https://www.zh.ch/internet/de/aktuell/news/medienmitteilungen/2020/medienmitteilung-der-gesundheitsdirektion1.html;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13-3-2020;Events with more than 50 people forbidden;https://www.fr.ch/de/sr/institutionen-und-politische-rechte/regierung-und-verwaltung/der-staatsrat-setzt-seinen-kantonales-fuehrungsorgan-ein-verbietet-jede-zusammenkunft-von-mehr-als-50-personen-und-unterbricht-den-praesenzunterricht;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27-2-2020;Carnaval and hocky forbidden;https://www4.ti.ch/fileadmin/DSS/DSP/COVID19/pdf/RG_1048.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6-3-2020;Events with more than 150 people forbidden;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/20200306_RG_1257_COVID-19_eventi_150.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11-3-2020;Entertainment places closed;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/1262.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11-3-2020;Sporting events are forbidden;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/1262.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11-3-2020;Hotels and restaurants are allowed up to 50 people;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/1262.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11-3-2020;Public places must ensure social distance an hygiene measures;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/1262.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11-3-2020;Non-compulsory public and private schools closed;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/1261.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14-3-2020;Events with more than 30 people are forbidden;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200314_RG_1301_COVID19_manifestazioni_minori_di_30.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14-3-2020;Funerals must be held strictly private;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200314_RG_1299_COVID19_chiusura_chiesa.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14-3-2020;All bars and restaurants closed;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200314_RG_1298_COVID19_chiusura_attivita_commerciali.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14-3-2020;All shops and markets closed;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200314_RG_1298_COVID19_chiusura_attivita_commerciali.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14-3-2020;All activities relating to personal services remain closed;https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/RG/20200314_RG_1298_COVID19_chiusura_attivita_commerciali.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
18-3-2020;All commercial activities prohibited between 19-3 and 21-3;https://www4.ti.ch/fileadmin/user_upload/RG1429_festivi_20_e_21_marzo.pdf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
19-3-2020;Exit restriction for people over 65;https://www.ur.ch/mmdirektionen/63841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
17-3-2020;Ban gatherings of more than 5 people;https://translate.googleusercontent.com/translate_c?depth=1&hl=en&prev=search&rurl=translate.google.com&sl=fr&sp=nmt4&u=https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-etat-de-necessite-decrete-et-interdiction-des-rassemblements-de-plus-de-5-personnes.html&usg=ALkJrhjn9eQQw7Yivu25MWeKXsHqEF7CRQ;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
